indicator,siteCode,DATIM,KHIS,NDW,concordance_KHIS_to_DATIM,concordance_KHIS_to_NDW
HTS_TST_POS,11516,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11517,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11520,4.0,12.0,12.0,33.33333333333333,100.0
HTS_TST_POS,11522,11.0,24.0,22.0,45.83333333333333,91.66666666666666
HTS_TST_POS,11525,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11526,1.0,12.0,12.0,8.333333333333332,100.0
HTS_TST_POS,11527,7.0,9.0,8.0,77.77777777777779,88.88888888888889
HTS_TST_POS,11529,0.0,8.0,0.0,0.0,0.0
HTS_TST_POS,11531,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,11534,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11537,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11538,9.0,12.0,12.0,75.0,100.0
HTS_TST_POS,11541,3.0,3.0,0.0,100.0,0.0
HTS_TST_POS,11544,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11553,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11555,28.0,46.0,47.0,60.86956521739131,102.17391304347827
HTS_TST_POS,11559,1.0,2.0,2.0,50.0,100.0
HTS_TST_POS,11561,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11562,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11563,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11565,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11566,10.0,13.0,13.0,76.92307692307693,100.0
HTS_TST_POS,11570,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11571,0.0,3.0,3.0,0.0,100.0
HTS_TST_POS,11572,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11578,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11580,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,11581,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11585,2.0,6.0,6.0,33.33333333333333,100.0
HTS_TST_POS,11592,1.0,6.0,5.0,16.666666666666664,83.33333333333334
HTS_TST_POS,11600,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,11603,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11605,2.0,3.0,0.0,66.66666666666666,0.0
HTS_TST_POS,11610,2.0,5.0,0.0,40.0,0.0
HTS_TST_POS,11613,3.0,7.0,6.0,42.857142857142854,85.71428571428571
HTS_TST_POS,11614,0.0,18.0,19.0,0.0,105.55555555555556
HTS_TST_POS,11615,5.0,12.0,7.0,41.66666666666667,58.333333333333336
HTS_TST_POS,11620,5.0,10.0,10.0,50.0,100.0
HTS_TST_POS,11624,6.0,6.0,6.0,100.0,100.0
HTS_TST_POS,11627,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11629,5.0,6.0,6.0,83.33333333333334,100.0
HTS_TST_POS,1163,1.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11631,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11634,3.0,4.0,4.0,75.0,100.0
HTS_TST_POS,11636,4.0,4.0,4.0,100.0,100.0
HTS_TST_POS,11638,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11641,9.0,23.0,22.0,39.130434782608695,95.65217391304348
HTS_TST_POS,11642,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11643,4.0,4.0,0.0,100.0,0.0
HTS_TST_POS,11645,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11649,0.0,7.0,0.0,0.0,0.0
HTS_TST_POS,1165,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11650,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,11651,3.0,4.0,1.0,75.0,25.0
HTS_TST_POS,11654,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11655,5.0,21.0,21.0,23.809523809523807,100.0
HTS_TST_POS,11659,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,1166,1.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11667,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,11668,1.0,2.0,0.0,50.0,0.0
HTS_TST_POS,11669,0.0,10.0,0.0,0.0,0.0
HTS_TST_POS,11672,12.0,25.0,25.0,48.0,100.0
HTS_TST_POS,11673,6.0,6.0,6.0,100.0,100.0
HTS_TST_POS,11675,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11676,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11677,6.0,16.0,14.0,37.5,87.5
HTS_TST_POS,11679,7.0,8.0,8.0,87.5,100.0
HTS_TST_POS,11681,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11684,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,11687,2.0,3.0,0.0,66.66666666666666,0.0
HTS_TST_POS,11691,1.0,3.0,3.0,33.33333333333333,100.0
HTS_TST_POS,11695,1.0,6.0,6.0,16.666666666666664,100.0
HTS_TST_POS,11697,4.0,5.0,5.0,80.0,100.0
HTS_TST_POS,11701,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,11702,3.0,5.0,5.0,60.0,100.0
HTS_TST_POS,11704,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11705,2.0,5.0,5.0,40.0,100.0
HTS_TST_POS,11712,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11713,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,11714,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11718,3.0,7.0,5.0,42.857142857142854,71.42857142857143
HTS_TST_POS,11719,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,1172,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11721,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11723,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11734,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,11738,0.0,1.0,1.0,0.0,100.0
HTS_TST_POS,1174,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11740,5.0,10.0,10.0,50.0,100.0
HTS_TST_POS,11748,6.0,18.0,18.0,33.33333333333333,100.0
HTS_TST_POS,1175,18.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11752,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11755,4.0,4.0,0.0,100.0,0.0
HTS_TST_POS,11756,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,11758,2.0,2.0,1.0,100.0,50.0
HTS_TST_POS,11761,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,11767,0.0,2.0,0.0,0.0,0.0
HTS_TST_POS,11768,7.0,13.0,13.0,53.84615384615385,100.0
HTS_TST_POS,1177,1.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11771,3.0,3.0,0.0,100.0,0.0
HTS_TST_POS,11774,5.0,4.0,5.0,125.0,125.0
HTS_TST_POS,1178,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11784,0.0,1.0,0.0,0.0,0.0
